home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home/name,away/name,home_result,season
37096.0,55459.0,166640.0,219924.0,81012.0,,101537.0,57531.0,86934.0,54102.0,204480.0,103123.0,,,121160.0,58621.0,97299.0,206325.0,146941.0,220566.0,61366.0,20664.0,,,103955.0,205651.0,103025.0,West Ham United,Manchester City,lose,2019/20
37915.0,38290.0,55605.0,173904.0,158534.0,,157668.0,62974.0,45268.0,231372.0,,78830.0,95715.0,,21205.0,47390.0,149484.0,108156.0,37339.0,122806.0,114283.0,85242.0,148508.0,193488.0,213345.0,,,Tottenham Hotspur,Aston Villa,win,2019/20
116535.0,171287.0,97032.0,122798.0,169187.0,,116643.0,41733.0,56979.0,,,92217.0,118748.0,152760.0,20480.0,232980.0,198826.0,83428.0,194799.0,193111.0,195546.0,71738.0,90440.0,78607.0,57127.0,,,Liverpool,Norwich City,win,2019/20
98747.0,68983.0,17761.0,51927.0,39487.0,,40145.0,60586.0,433154.0,60551.0,,60689.0,44699.0,,107265.0,93100.0,88900.0,171771.0,,40146.0,78056.0,101178.0,213482.0,,84939.0,200439.0,83283.0,Burnley,Southampton,win,2019/20
51940.0,184667.0,95658.0,106760.0,214590.0,,74208.0,176297.0,109322.0,156689.0,195851.0,148225.0,,,109745.0,135363.0,103192.0,41328.0,109533.0,85955.0,91651.0,88894.0,49579.0,184341.0,173879.0,,,Manchester United,Chelsea,win,2019/20
17745.0,172850.0,218031.0,37642.0,111931.0,,166989.0,172780.0,168580.0,203341.0,197469.0,101668.0,,,38533.0,41727.0,90585.0,94147.0,,87835.0,171317.0,114128.0,19624.0,151589.0,102057.0,194634.0,,Leicester City,Wolverhampton Wanderers,draw,2019/20
225321.0,56917.0,126184.0,223911.0,,,152551.0,54469.0,171129.0,168991.0,,75115.0,90105.0,78007.0,172649.0,146610.0,40386.0,108416.0,,82691.0,63426.0,47247.0,153723.0,79934.0,171975.0,27436.0,,Bournemouth,Sheffield United,draw,2019/20
9089.0,60232.0,41338.0,54484.0,40868.0,,94924.0,121599.0,108413.0,38439.0,,41725.0,73426.0,,131897.0,61933.0,83299.0,78916.0,,40845.0,109345.0,86153.0,66242.0,,106757.0,60307.0,20529.0,Watford,Brighton and Hove Albion,lose,2019/20
40836.0,55494.0,74230.0,19188.0,58786.0,,66975.0,141020.0,60252.0,50471.0,,80146.0,54861.0,,111234.0,106611.0,101188.0,164511.0,59949.0,212319.0,55422.0,42774.0,100649.0,120250.0,177815.0,,,Crystal Palace,Everton,draw,2019/20
67089.0,106618.0,119471.0,101148.0,,,50232.0,56983.0,153127.0,109528.0,180135.0,180974.0,179018.0,,80201.0,39476.0,154043.0,38411.0,101184.0,57249.0,200641.0,200089.0,242166.0,84450.0,54694.0,,,Newcastle United,Arsenal,lose,2019/20
21205.0,47390.0,149484.0,108156.0,37339.0,,230046.0,122806.0,114283.0,,,213345.0,148508.0,193488.0,225321.0,56917.0,126184.0,41320.0,54469.0,152551.0,153682.0,90105.0,168991.0,,75115.0,78007.0,,Aston Villa,Bournemouth,lose,2019/20
80201.0,39476.0,154043.0,38411.0,41270.0,,182539.0,54694.0,200641.0,200089.0,242166.0,59966.0,,,98747.0,68983.0,17761.0,51927.0,39487.0,40145.0,60586.0,433154.0,60551.0,,60689.0,44699.0,,Arsenal,Burnley,win,2019/20
