home/name,away/name,home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home_result,season
West Ham United,Manchester City,37096,55459,81012,219924,166640,-1,54102,101537,86934,204480,57531,103123,-1,-1,121160,58621,146941,97299,206325,61366,220566,20664,-1,-1,103955,205651,103025,lose,2019/20
Tottenham Hotspur,Aston Villa,37915,173904,158534,38290,55605,-1,157668,62974,45268,231372,-1,78830,95715,-1,21205,149484,47390,108156,37339,85242,122806,148508,193488,114283,213345,-1,-1,win,2019/20
Liverpool,Norwich City,116535,169187,122798,97032,171287,-1,41733,56979,116643,-1,-1,118748,92217,152760,20480,83428,198826,194799,232980,195546,193111,71738,90440,78607,57127,-1,-1,win,2019/20
Burnley,Southampton,98747,51927,68983,17761,39487,-1,60586,433154,40145,60551,-1,60689,44699,-1,107265,171771,88900,93100,-1,78056,101178,40146,213482,-1,84939,83283,200439,win,2019/20
Manchester United,Chelsea,51940,214590,184667,106760,95658,-1,195851,74208,156689,176297,109322,148225,-1,-1,109745,109533,41328,135363,103192,91651,88894,49579,184341,85955,173879,-1,-1,win,2019/20
Leicester City,Wolverhampton Wanderers,17745,218031,111931,37642,172850,-1,172780,166989,168580,203341,197469,101668,-1,-1,38533,94147,41727,90585,-1,171317,114128,19624,87835,151589,102057,194634,-1,draw,2019/20
Bournemouth,Sheffield United,225321,126184,56917,223911,-1,-1,54469,171129,168991,152551,-1,75115,90105,78007,172649,146610,40386,108416,-1,82691,63426,47247,153723,79934,171975,27436,-1,draw,2019/20
Watford,Brighton and Hove Albion,9089,60232,41338,54484,40868,-1,108413,94924,121599,38439,-1,41725,73426,-1,131897,78916,61933,83299,-1,109345,40845,86153,66242,-1,60307,106757,20529,lose,2019/20
Crystal Palace,Everton,40836,55494,74230,19188,58786,-1,141020,50471,60252,66975,-1,80146,54861,-1,111234,164511,106611,101188,59949,212319,42774,100649,120250,55422,177815,-1,-1,draw,2019/20
Newcastle United,Arsenal,67089,101148,106618,119471,-1,-1,50232,56983,180135,109528,153127,179018,180974,-1,80201,38411,154043,101184,39476,242166,200089,200641,84450,57249,54694,-1,-1,lose,2019/20
Aston Villa,Bournemouth,21205,149484,47390,108156,37339,-1,114283,122806,230046,-1,-1,148508,193488,213345,225321,126184,56917,54469,41320,168991,153682,152551,90105,-1,75115,78007,-1,lose,2019/20
Arsenal,Burnley,80201,154043,39476,38411,41270,-1,200089,182539,200641,54694,242166,59966,-1,-1,98747,51927,68983,17761,39487,60586,433154,40145,60551,-1,60689,44699,-1,win,2019/20
Chelsea,Leicester City,109745,109533,41328,135363,103192,-1,116594,184341,85955,-1,-1,176413,49579,44346,17745,111931,37642,218031,37402,172780,166989,168580,203341,197469,101668,-1,-1,draw,2019/20
