id,name,season,defence_clean sheets,defence_goals conceded,defence_tackles,defence_tackle success %,defence_last man tackles,defence_blocked shots,defence_interceptions,defence_clearances,defence_headed clearance,defence_clearances off line,defence_recoveries,defence_duels won,defence_duels lost,defence_successful 50/50s,defence_aerial battles won,defence_aerial battles lost,defence_own goals,defence_errors leading to goal,teamplay_goals,teamplay_assists,teamplay_passes,teamplay_passes per match,teamplay_big chances created,teamplay_crosses,teamplay_cross accuracy %,teamplay_through balls,teamplay_accurate long balls,discipline_yellow cards,discipline_red cards,discipline_fouls,discipline_offsides,attack_goals,attack_goals per match,attack_headed goals,attack_goals with right foot,attack_goals with left foot,attack_penalties scored,attack_freekicks scored,attack_shots,attack_shots on target,attack_shooting accuracy %,attack_hit woodwork,attack_big chances missed,goalkeeping_saves,goalkeeping_penalties saved,goalkeeping_punches,goalkeeping_high claims,goalkeeping_catches,goalkeeping_sweeper clearances,goalkeeping_throw outs,goalkeeping_goal kicks
p54861,Christian Benteke,2018/19,0,0,5,0,0,5,0,14,11,0,0,0,0,0,0,0,0,0,0,1,241,15.06,3,1,0,0,0,1,0,18,10,1,0.06,1,0,0,0,0,26,8,31,2,6,0,0,0,0,0,0,0,0
p213405,Filip Benkovic,2018/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p449926,Adrián Bernabé,2018/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p182436,Ben Woodburn,2018/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p100649,Bernard,2018/19,0,0,49,0,0,9,27,12,2,0,0,0,0,0,0,0,0,0,0,3,806,23.71,4,51,0,0,0,5,0,17,2,1,0.03,0,1,0,0,0,23,5,22,1,4,0,0,0,0,0,0,0,0
p56981,Joe Bennett,2018/19,8,50,50,58,0,4,60,84,30,0,129,143,74,24,35,17,0,0,0,1,694,23.13,0,43,26,2,41,5,0,20,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p217401,Josh Benson,2018/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p41321,Yohan Benalouane,2018/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p83312,Ben Gibson,2018/19,0,3,1,100,1,0,0,2,2,0,3,3,5,0,2,4,0,0,0,0,33,33.0,0,0,0,0,1,1,0,2,0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p40349,Asmir Begovic,2018/19,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,530,22.08,0,0,0,0,137,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,60,0,4,19,5,8,128,192
p98745,Héctor Bellerín,2018/19,3,21,15,80,0,8,20,33,20,0,79,57,69,15,21,24,1,0,0,5,785,41.32,4,39,23,6,25,3,0,16,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p171771,Jan Bednarek,2018/19,3,37,41,61,1,2,71,168,76,2,129,127,105,1,80,61,0,0,0,1,822,32.88,1,1,0,3,42,7,0,22,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p77610,Danny Batth,2018/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p462029,Connor Barrett,2018/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p159039,Antonio Barreca,2018/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p468236,Yan Couto,2021/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p447880,Josh Wilson-Esbrand,2021/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p216646,Yoane Wissa,2021/22,0,0,12,50,0,6,8,5,4,0,58,73,71,19,20,31,0,0,0,1,273,9.1,0,11,9,2,5,0,0,8,7,7,0.23,1,4,2,0,0,32,13,41,0,2,0,0,0,0,0,0,0,0
p491556,Charlie Whitaker,2021/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p515503,Jack Wells-Morrison,2021/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p498367,Dylan Williams,2021/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p120202,Wout Weghorst,2021/22,0,0,17,0,0,5,6,13,8,0,0,0,0,0,0,0,0,0,0,3,426,21.3,2,4,0,0,0,3,0,30,9,2,0.1,1,1,0,0,0,30,9,30,2,6,0,0,0,0,0,0,0,0
p461548,Zidane Iqbal,2021/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p162344,Philip Zinckernagel,2021/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
