home/name,away/name,home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home_result,season
West Ham United,Manchester City,37096,55459,166640,219924,81012.0,,101537,57531,86934,54102.0,204480.0,103123,,,121160,58621,97299,206325,146941.0,220566,61366,20664,,,103955,205651.0,103025.0,lose,2019/20
Tottenham Hotspur,Aston Villa,37915,38290,55605,173904,158534.0,,157668,62974,45268,231372.0,,78830,95715.0,,21205,47390,149484,108156,37339.0,122806,114283,85242,148508.0,193488.0,213345,,,win,2019/20
Liverpool,Norwich City,116535,171287,97032,122798,169187.0,,116643,41733,56979,,,92217,118748.0,152760.0,20480,232980,198826,83428,194799.0,193111,195546,71738,90440.0,78607.0,57127,,,win,2019/20
Burnley,Southampton,98747,68983,17761,51927,39487.0,,40145,60586,433154,60551.0,,60689,44699.0,,107265,93100,88900,171771,,40146,78056,101178,213482.0,,84939,200439.0,83283.0,win,2019/20
Manchester United,Chelsea,51940,184667,95658,106760,214590.0,,74208,176297,109322,156689.0,195851.0,148225,,,109745,135363,103192,41328,109533.0,85955,91651,88894,49579.0,184341.0,173879,,,win,2019/20
Leicester City,Wolverhampton Wanderers,17745,172850,218031,37642,111931.0,,166989,172780,168580,203341.0,197469.0,101668,,,38533,41727,90585,94147,,87835,171317,114128,19624.0,151589.0,102057,194634.0,,draw,2019/20
Bournemouth,Sheffield United,225321,56917,126184,223911,,,152551,54469,171129,168991.0,,75115,90105.0,78007.0,172649,146610,40386,108416,,82691,63426,47247,153723.0,79934.0,171975,27436.0,,draw,2019/20
Watford,Brighton and Hove Albion,9089,60232,41338,54484,40868.0,,94924,121599,108413,38439.0,,41725,73426.0,,131897,61933,83299,78916,,40845,109345,86153,66242.0,,106757,60307.0,20529.0,lose,2019/20
Crystal Palace,Everton,40836,55494,74230,19188,58786.0,,66975,141020,60252,50471.0,,80146,54861.0,,111234,106611,101188,164511,59949.0,212319,55422,42774,100649.0,120250.0,177815,,,draw,2019/20
Newcastle United,Arsenal,67089,106618,119471,101148,,,50232,56983,153127,109528.0,180135.0,180974,179018.0,,80201,39476,154043,38411,101184.0,57249,200641,200089,242166.0,84450.0,54694,,,lose,2019/20
Aston Villa,Bournemouth,21205,47390,149484,108156,37339.0,,230046,122806,114283,,,213345,148508.0,193488.0,225321,56917,126184,41320,54469.0,152551,153682,90105,168991.0,,75115,78007.0,,lose,2019/20
Arsenal,Burnley,80201,39476,154043,38411,41270.0,,182539,54694,200641,200089.0,242166.0,59966,,,98747,68983,17761,51927,39487.0,40145,60586,433154,60551.0,,60689,44699.0,,win,2019/20
Chelsea,Leicester City,109745,135363,103192,41328,109533.0,,85955,116594,184341,,,176413,49579.0,44346.0,17745,218031,37642,111931,37402.0,166989,172780,168580,203341.0,197469.0,101668,,,draw,2019/20
Brighton and Hove Albion,West Ham United,131897,61933,83299,78916,,,40845,109345,86153,66242.0,,116216,60307.0,20529.0,37096,40669,219924,81012,105717.0,217593,86934,18987,54102.0,204480.0,43020,,,draw,2019/20
Manchester City,Tottenham Hotspur,121160,58621,206325,146941,57410.0,,103955,59859,220566,61366.0,165809.0,37572,,,37915,38290,55605,173904,158534.0,157668,62974,45268,80607.0,231372.0,78830,,,draw,2019/20
Everton,Watford,111234,106611,101188,164511,59949.0,,212319,55422,100649,120250.0,160987.0,177815,,,9089,60232,41338,54484,40868.0,121599,108413,38439,61566.0,,94924,41725.0,,win,2019/20
Norwich City,Newcastle United,20480,232980,198826,83428,194799.0,,87396,193111,195546,71738.0,90440.0,57127,,,67089,106618,119471,101148,,76542,50232,56983,153127.0,111773.0,180974,179018.0,,win,2019/20
Sheffield United,Crystal Palace,172649,146610,40386,108416,,,82691,63426,47247,153723.0,79934.0,171975,27436.0,,40836,55494,74230,19188,58786.0,66975,141020,60252,50471.0,,82403,54861.0,,win,2019/20
Bournemouth,Manchester City,225321,56917,126184,223911,41320.0,54469.0,152551,90105,78007,168991.0,,75115,,,121160,58621,206325,146941,57410.0,59859,61366,20664,,,103955,37572.0,165809.0,lose,2019/20
Southampton,Liverpool,107265,80447,93100,171771,,,40146,78056,101178,213482.0,132015.0,200439,83283.0,,60706,97032,122798,60914,169187.0,41733,15157,81880,,,92217,110979.0,118748.0,lose,2019/20
Wolverhampton Wanderers,Manchester United,38533,41727,90585,94147,,,87835,171317,114128,19624.0,151589.0,102057,194634.0,,51940,184667,95658,106760,214590.0,74208,176297,109322,200617.0,195851.0,148225,,,draw,2019/20
Brighton and Hove Albion,Southampton,131897,61933,83299,78916,,,40845,109345,86153,66242.0,,115382,93284.0,116216.0,107265,93100,213482,171771,135720.0,78056,101178,83283,132015.0,,84939,200439.0,,lose,2019/20
Liverpool,Arsenal,60706,97032,122798,60914,169187.0,,116643,41733,56979,,,92217,110979.0,118748.0,80201,39476,154043,38411,41270.0,182539,200089,242166,84450.0,,54694,195735.0,,win,2019/20
Aston Villa,Everton,21205,203368,47390,149484,108156.0,,230046,122806,114283,148508.0,89274.0,213345,,,111234,106611,101188,164511,59949.0,212319,55422,42774,100649.0,120250.0,177815,,,win,2019/20
Manchester United,Crystal Palace,51940,184667,95658,106760,214590.0,,74208,176297,109322,200617.0,195851.0,148225,,,40836,19419,55494,74230,58786.0,66975,55037,82403,86417.0,50471.0,80146,,,lose,2019/20
